Snapshot_Label,Public_Level_1,Public_Level_2,Public_DC_Fast,Public_Ports_Total,Shared_Private_Level_1,Shared_Private_Level_2,Shared_Private_DC_Fast,Shared_Private_Ports_Total,All_Sectors_Ports_Total,Unit,Geography,Source_File,Source_URL,Source_ID,Hub_URL,Data_As_Of_File,Snapshot_Date,Metric_Label,Notes
Dec 2025,562,142168,40310,183040,976,248156,2256,251388,434428,charging_ports,California,EV_Chargers_Last_updated_04-21-2026_ada.xlsx,https://www.energy.ca.gov/filebrowser/download/9662?fid=9662,SRC-CEC-002,https://www.energy.ca.gov/files/zev-and-infrastructure-stats-data,"December 31, 2025 (Info sheet)",2026-08-07,reported,Ports (not stations). All_Sectors = public + shared private (workplaces/MFH/fleets); excludes residential. Public_Ports_Total is the Page 5 primary infrastructure KPI.
Sept 2025,524,130346,35596,166466,766,234750,1668,237184,403650,charging_ports,California,EV_Chargers_Last_updated_04-21-2026_ada.xlsx,https://www.energy.ca.gov/filebrowser/download/9662?fid=9662,SRC-CEC-002,https://www.energy.ca.gov/files/zev-and-infrastructure-stats-data,"December 31, 2025 (Info sheet)",2026-08-07,reported,Ports (not stations). All_Sectors = public + shared private (workplaces/MFH/fleets); excludes residential. Public_Ports_Total is the Page 5 primary infrastructure KPI.
Feb 2025,256,68632,15639,84527,436,93546,732,94714,179241,charging_ports,California,EV_Chargers_Last_updated_04-21-2026_ada.xlsx,https://www.energy.ca.gov/filebrowser/download/9662?fid=9662,SRC-CEC-002,https://www.energy.ca.gov/files/zev-and-infrastructure-stats-data,"December 31, 2025 (Info sheet)",2026-08-07,reported,Ports (not stations). All_Sectors = public + shared private (workplaces/MFH/fleets); excludes residential. Public_Ports_Total is the Page 5 primary infrastructure KPI.
Aug 2024,235,51529,13943,65707,443,86119,765,87327,153034,charging_ports,California,EV_Chargers_Last_updated_04-21-2026_ada.xlsx,https://www.energy.ca.gov/filebrowser/download/9662?fid=9662,SRC-CEC-002,https://www.energy.ca.gov/files/zev-and-infrastructure-stats-data,"December 31, 2025 (Info sheet)",2026-08-07,reported,Ports (not stations). All_Sectors = public + shared private (workplaces/MFH/fleets); excludes residential. Public_Ports_Total is the Page 5 primary infrastructure KPI.
Q4 2023,205,32667,10677,43549,449,60975,693,62117,105666,charging_ports,California,EV_Chargers_Last_updated_04-21-2026_ada.xlsx,https://www.energy.ca.gov/filebrowser/download/9662?fid=9662,SRC-CEC-002,https://www.energy.ca.gov/files/zev-and-infrastructure-stats-data,"December 31, 2025 (Info sheet)",2026-08-07,reported,Ports (not stations). All_Sectors = public + shared private (workplaces/MFH/fleets); excludes residential. Public_Ports_Total is the Page 5 primary infrastructure KPI.
Sept 2023,214,31779,9605,41598,382,51818,653,52853,94451,charging_ports,California,EV_Chargers_Last_updated_04-21-2026_ada.xlsx,https://www.energy.ca.gov/filebrowser/download/9662?fid=9662,SRC-CEC-002,https://www.energy.ca.gov/files/zev-and-infrastructure-stats-data,"December 31, 2025 (Info sheet)",2026-08-07,reported,Ports (not stations). All_Sectors = public + shared private (workplaces/MFH/fleets); excludes residential. Public_Ports_Total is the Page 5 primary infrastructure KPI.
Q2 2023,185,30317,9155,39657,382,51818,653,52853,92510,charging_ports,California,EV_Chargers_Last_updated_04-21-2026_ada.xlsx,https://www.energy.ca.gov/filebrowser/download/9662?fid=9662,SRC-CEC-002,https://www.energy.ca.gov/files/zev-and-infrastructure-stats-data,"December 31, 2025 (Info sheet)",2026-08-07,reported,Ports (not stations). All_Sectors = public + shared private (workplaces/MFH/fleets); excludes residential. Public_Ports_Total is the Page 5 primary infrastructure KPI.
Q4 2022,184,28580,8533,37297,376,49920,674,50970,88267,charging_ports,California,EV_Chargers_Last_updated_04-21-2026_ada.xlsx,https://www.energy.ca.gov/filebrowser/download/9662?fid=9662,SRC-CEC-002,https://www.energy.ca.gov/files/zev-and-infrastructure-stats-data,"December 31, 2025 (Info sheet)",2026-08-07,reported,Ports (not stations). All_Sectors = public + shared private (workplaces/MFH/fleets); excludes residential. Public_Ports_Total is the Page 5 primary infrastructure KPI.
Q3 2022,171,28573,7926,36670,374,46348,602,47324,83994,charging_ports,California,EV_Chargers_Last_updated_04-21-2026_ada.xlsx,https://www.energy.ca.gov/filebrowser/download/9662?fid=9662,SRC-CEC-002,https://www.energy.ca.gov/files/zev-and-infrastructure-stats-data,"December 31, 2025 (Info sheet)",2026-08-07,reported,Ports (not stations). All_Sectors = public + shared private (workplaces/MFH/fleets); excludes residential. Public_Ports_Total is the Page 5 primary infrastructure KPI.
Q2 2022,184,29725,7494,37403,374,41511,495,42380,83352,charging_ports,California,EV_Chargers_Last_updated_04-21-2026_ada.xlsx,https://www.energy.ca.gov/filebrowser/download/9662?fid=9662,SRC-CEC-002,https://www.energy.ca.gov/files/zev-and-infrastructure-stats-data,"December 31, 2025 (Info sheet)",2026-08-07,reported,Ports (not stations). All_Sectors = public + shared private (workplaces/MFH/fleets); excludes residential. Public_Ports_Total is the Page 5 primary infrastructure KPI.
