Period_ID,Reporting_Period,Form,Report_Date,Total_Revenue,Automotive_Revenue,Cost_of_Automotive_Revenue,Automotive_Gross_Profit,Automotive_Gross_Margin,Inventory,Accounts_Payable,Capital_Expenditures,Operating_Cash_Flow,Free_Cash_Flow,Net_Income,Inventory_Days_Estimate,Days_In_Period,CashFlow_Basis,OCF_Capex_Metric_Label,Unit,Source_File,Source_ID,Source_Accession,Source_URL,Publication_Date,Enriched_On
2022Q1,2022-01-01 to 2022-03-31,10-Q,2022-03-31,18756.0,16861.0,11322.0,5539.0,0.3285095783168258,6691.0,11171.0,1767.0,3995.0,2228.0,3318.0,53.18759936406995,90,quarter_equals_ytd,reported (Q1 YTD = quarter),USD_millions,10-Q_Q1_2022_2022-03-31_tsla-20220331.htm,SRC-SEC-10-Q-Q1_2022,0000950170-22-006034,https://www.sec.gov/Archives/edgar/data/1318605/000095017022006034/tsla-20220331.htm,2022-04-25,2026-08-02
2022Q2,2022-04-01 to 2022-06-30,10-Q,2022-06-30,16934.0,14602.0,10521.0,4081.0,0.2794822627037392,8108.0,11212.0,1730.0,2351.0,621.0,2259.0,70.1290751829674,91,quarter_calculated_from_ytd,calculated (YTD − prior YTD),USD_millions,10-Q_Q2_2022_2022-06-30_tsla-20220630.htm,SRC-SEC-10-Q-Q2_2022,0000950170-22-012936,https://www.sec.gov/Archives/edgar/data/1318605/000095017022012936/tsla-20220630.htm,2022-07-25,2026-08-02
2022Q3,2022-07-01 to 2022-09-30,10-Q,2022-09-30,21454.0,18692.0,13480.0,5212.0,0.2788358656109566,10327.0,13897.0,1803.0,5100.0,3297.0,3292.0,70.48100890207715,92,quarter_calculated_from_ytd,calculated (YTD − prior YTD),USD_millions,10-Q_Q3_2022_2022-09-30_tsla-20220930.htm,SRC-SEC-10-Q-Q3_2022,0000950170-22-019867,https://www.sec.gov/Archives/edgar/data/1318605/000095017022019867/tsla-20220930.htm,2022-10-24,2026-08-02
2022Q4,2022-10-01 to 2022-12-31,10-K,2022-12-31,24318.0,21307.0,15785.0,5522.0,0.2591636551368095,12839.0,15255.0,1858.0,3278.0,1420.0,3687.0,74.82977510294583,92,quarter_calculated_from_annual_minus_9mo,calculated (annual − 9-mo YTD),USD_millions,10-K_FY_2022_2022-12-31_tsla-20221231.htm,SRC-SEC-10-K-FY_2022,0000950170-23-001409,https://www.sec.gov/Archives/edgar/data/1318605/000095017023001409/tsla-20221231.htm,2023-01-31,2026-08-02
2023Q1,2023-01-01 to 2023-03-31,10-Q,2023-03-31,23329.0,19963.0,15755.0,4208.0,0.21078996142864298,14375.0,15904.0,2072.0,2513.0,441.0,2513.0,82.11678832116789,90,quarter_equals_ytd,reported (Q1 YTD = quarter),USD_millions,10-Q_Q1_2023_2023-03-31_tsla-20230331.htm,SRC-SEC-10-Q-Q1_2023,0000950170-23-013890,https://www.sec.gov/Archives/edgar/data/1318605/000095017023013890/tsla-20230331.htm,2023-04-24,2026-08-02
2023Q2,2023-04-01 to 2023-06-30,10-Q,2023-06-30,24927.0,21268.0,17179.0,4089.0,0.19226067331201804,14356.0,15273.0,2060.0,3065.0,1005.0,2703.0,76.04610279993015,91,quarter_calculated_from_ytd,calculated (YTD − prior YTD),USD_millions,10-Q_Q2_2023_2023-06-30_tsla-20230630.htm,SRC-SEC-10-Q-Q2_2023,0000950170-23-033872,https://www.sec.gov/Archives/edgar/data/1318605/000095017023033872/tsla-20230630.htm,2023-07-24,2026-08-02
2023Q3,2023-07-01 to 2023-09-30,10-Q,2023-09-30,23350.0,19625.0,15957.0,3668.0,0.18690445859872612,13721.0,13937.0,2460.0,3308.0,848.0,1853.0,79.10835370057029,92,quarter_calculated_from_ytd,calculated (YTD − prior YTD),USD_millions,10-Q_Q3_2023_2023-09-30_tsla-20230930.htm,SRC-SEC-10-Q-Q3_2023,0001628280-23-034847,https://www.sec.gov/Archives/edgar/data/1318605/000162828023034847/tsla-20230930.htm,2023-10-23,2026-08-02
2023Q4,2023-10-01 to 2023-12-31,10-K,2023-12-31,25167.0,21563.0,17498.0,4065.0,0.18851736771321245,13626.0,14431.0,2306.0,4370.0,2064.0,7928.0,71.64201623042634,92,quarter_calculated_from_annual_minus_9mo,calculated (annual − 9-mo YTD),USD_millions,10-K_FY_2023_2023-12-31_tsla-20231231.htm,SRC-SEC-10-K-FY_2023,0001628280-24-002390,https://www.sec.gov/Archives/edgar/data/1318605/000162828024002390/tsla-20231231.htm,2024-01-29,2026-08-02
2024Q1,2024-01-01 to 2024-03-31,10-Q,2024-03-31,21301.0,17378.0,14166.0,3212.0,0.18483139601795373,16033.0,14725.0,2773.0,242.0,-2531.0,1129.0,102.99329380206127,91,quarter_equals_ytd,reported (Q1 YTD = quarter),USD_millions,10-Q_Q1_2024_2024-03-31_tsla-20240331.htm,SRC-SEC-10-Q-Q1_2024,0001628280-24-017503,https://www.sec.gov/Archives/edgar/data/1318605/000162828024017503/tsla-20240331.htm,2024-04-24,2026-08-02
2024Q2,2024-04-01 to 2024-06-30,10-Q,2024-06-30,25500.0,19878.0,16207.0,3671.0,0.18467652681356272,14195.0,13056.0,2270.0,3612.0,1342.0,1478.0,79.70290615166286,91,quarter_calculated_from_ytd,calculated (YTD − prior YTD),USD_millions,10-Q_Q2_2024_2024-06-30_tsla-20240630.htm,SRC-SEC-10-Q-Q2_2024,0001628280-24-032662,https://www.sec.gov/Archives/edgar/data/1318605/000162828024032662/tsla-20240630.htm,2024-07-24,2026-08-02
2024Q3,2024-07-01 to 2024-09-30,10-Q,2024-09-30,25182.0,20016.0,15990.0,4026.0,0.20113908872901679,14530.0,14654.0,3513.0,6255.0,2742.0,2167.0,83.59974984365228,92,quarter_calculated_from_ytd,calculated (YTD − prior YTD),USD_millions,10-Q_Q3_2024_2024-09-30_tsla-20240930.htm,SRC-SEC-10-Q-Q3_2024,0001628280-24-043486,https://www.sec.gov/Archives/edgar/data/1318605/000162828024043486/tsla-20240930.htm,2024-10-24,2026-08-02
2024Q4,2024-10-01 to 2024-12-31,10-K,2024-12-31,25707.0,19798.0,16510.0,3288.0,0.16607738155369228,12017.0,12474.0,2783.0,4814.0,2031.0,2317.0,66.9632949727438,92,quarter_calculated_from_annual_minus_9mo,calculated (annual − 9-mo YTD),USD_millions,10-K_FY_2024_2024-12-31_tsla-20241231.htm,SRC-SEC-10-K-FY_2024,0001628280-25-003063,https://www.sec.gov/Archives/edgar/data/1318605/000162828025003063/tsla-20241231.htm,2025-01-30,2026-08-02
2025Q1,2025-01-01 to 2025-03-31,10-Q,2025-03-31,19335.0,13967.0,11700.0,2267.0,0.16231116202477266,13706.0,13471.0,1492.0,2156.0,664.0,409.0,105.43076923076923,90,quarter_equals_ytd,reported (Q1 YTD = quarter),USD_millions,10-Q_Q1_2025_2025-03-31_tsla-20250331.htm,SRC-SEC-10-Q-Q1_2025,0001628280-25-018911,https://www.sec.gov/Archives/edgar/data/1318605/000162828025018911/tsla-20250331.htm,2025-04-23,2026-08-02
2025Q2,2025-04-01 to 2025-06-30,10-Q,2025-06-30,22496.0,16661.0,13795.0,2866.0,0.172018486285337,14570.0,13212.0,2394.0,2540.0,146.0,1172.0,96.11235955056179,91,quarter_calculated_from_ytd,calculated (YTD − prior YTD),USD_millions,10-Q_Q2_2025_2025-06-30_tsla-20250630.htm,SRC-SEC-10-Q-Q2_2025,0001628280-25-035806,https://www.sec.gov/Archives/edgar/data/1318605/000162828025035806/tsla-20250630.htm,2025-07-24,2026-08-02
