Model,Recall_Campaign_Count,Complaint_Count,Recall_Source_ID,Complaint_Source_ID,Metric_Label
MODEL 3,34,4218,SRC-NHTSA-001,SRC-NHTSA-002,reported
MODEL Y,40,3968,SRC-NHTSA-001,SRC-NHTSA-002,reported
MODEL S,39,3370,SRC-NHTSA-001,SRC-NHTSA-002,reported
MODEL X,39,1520,SRC-NHTSA-001,SRC-NHTSA-002,reported
CYBERTRUCK,11,195,SRC-NHTSA-001,SRC-NHTSA-002,reported
TESLA,0,17,SRC-NHTSA-001,SRC-NHTSA-002,reported
VEHICLE CHARGER,0,13,SRC-NHTSA-001,SRC-NHTSA-002,reported
ROADSTER,2,3,SRC-NHTSA-001,SRC-NHTSA-002,reported
SEMI,2,3,SRC-NHTSA-001,SRC-NHTSA-002,reported
REARVIEW MIRROR,1,2,SRC-NHTSA-001,SRC-NHTSA-002,reported
NEMA 10-30 ADAPTER,1,1,SRC-NHTSA-001,SRC-NHTSA-002,reported
NEMA 6-50 ADAPTER,1,1,SRC-NHTSA-001,SRC-NHTSA-002,reported
NEMA 14-30 ADAPTER,1,0,SRC-NHTSA-001,SRC-NHTSA-002,reported
