Record_ID,Campaign_Number,Make,Model,Model_Year,Component,Manufacturer_Campaign_Number,Recall_Type_Code,Potential_Units_Affected,Owner_Notify_Date,Report_Received_Date,Influenced_By,Summary,Consequence,Remedy,Notes,Do_Not_Drive,Park_Outside,Source_File,Source_Zip,Source_URL,Source_ID,Dictionary_File,Snapshot_Date,Metric_Label,Units_Note
78244,09V178000,TESLA,ROADSTER,2008,WHEELS:HUB,,V,345,2009-05-28,2009-05-26,MFR,"TESLA MOTORS, INC. IS RECALLING 345 MY 2008 TESLA ROADSTER VEHICLES MANUFACTURED BETWEEN MARCH 2008 AND APRIL 22, 2009.  THE REAR HUB FLANGE BOLTS ON SOME OF THESE VEHICLES MAY BE UNDER-TORQUED AND MAY BECOME LOOSE.  A LOOSE HUB COULD LEAD TO DEGRADATION IN VEHICLE HANDLING, AND A RUBBING NOISE FROM THE REAR OF THE VEHICLE.","IF THE PROBLEM IS NOT ADDRESSED PROMPTLY, THE DRIVER COULD LOSE CONTROL OF THE VEHICLE, WHICH COULD LEAD TO A CRASH.","TESLA WILL NOTIFY OWNERS AND REPAIR THE VEHICLES FREE OF CHARGE.  THE SAFETY RECALL BEGAN ON MAY 28, 2009.  OWNERS MAY CONTACT TESLA TOLL-FREE AT 1-877-888-3752.","OWNERS MAY ALSO CONTACT THE NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION'S VEHICLE SAFETY HOTLINE AT 1-888-327-4236 (TTY 1-800-424-9153), OR GO TO <A HREF=HTTP://WWW.SAFERCAR.GOV>HTTP://WWW.SAFERCAR.GOV</A> .",No,No,FLAT_RCL_PRE_2010.zip::FLAT_RCL_PRE_2010.txt,FLAT_RCL_PRE_2010.zip,https://static.nhtsa.gov/odi/ffdd/rcl/FLAT_RCL_PRE_2010.zip,SRC-NHTSA-001,RCL.txt,2026-08-07,reported,POTAFF = potential units affected as reported to NHTSA; not confirmed repairs completed
83685,10V458000,TESLA,ROADSTER2,2010,ELECTRICAL SYSTEM:12V/24V/48V BATTERY:CABLES,,V,439,2010-10-31,2010-10-01,MFR,"TESLA IS RECALLING CERTAIN MODEL YEAR 2010 ROADSTER 2.0 AND 2.5 VEHICLES EQUIPPED WITH A 12V AUXILIARY CABLE.  THE 12V AUXILIARY CABLE FOR THE LOW VOLTAGE BACK UP POWER SYSTEM MAY BE IMPROPERLY ROUTED. IF THE WIRE IS IMPROPERLY ROUTED, AND TRAPPED AGAINST THE WHEEL WELL COVER, THE WIRE MAY ABRADE AGAINST THE EDGE OF THE CARBON FIBER ARMATURE AND, OVER TIME, EXPOSE THE WIRE. CONTACT BETWEEN THE BARE WIRE AND CARBON FIBER MAY CAUSE A SHORT-CIRCUIT LEADING TO POSSIBLE ELECTRICAL ARCHING.",SHORT CIRCUIT AND ELECTRICAL ARCING COULD LEAD TO A FIRE IN THE RIGHT FRONT HEADLAMP AREA.,"TESLA MOTORS WILL CHECK THE ROUTING OF THE 12V AUXILIARY CABLE AND INSTALL A PROTECTIVE SLEEVE OVER THE WIRE FREE OF CHARGE. THIS WILL PREVENT MISROUTING AND PINCHING BY THE WHEEL WELL COVER.  THE SAFETY RECALL BEGAN ON OCTOBER 31, 2010.  OWNERS MAY CONTACT TESLA CUSTOMER SERVICE AT 877-888-3752.","OWNERS MAY ALSO CONTACT THE NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION'S VEHICLE SAFETY HOTLINE AT 1-888-327-4236 (TTY 1-800-424-9153), OR GO TO <A HREF=HTTP://WWW.SAFERCAR.GOV>HTTP://WWW.SAFERCAR.GOV</A> .",No,No,FLAT_RCL_POST_2010.zip::FLAT_RCL_POST_2010.txt,FLAT_RCL_POST_2010.zip,https://static.nhtsa.gov/odi/ffdd/rcl/FLAT_RCL_POST_2010.zip,SRC-NHTSA-001,RCL.txt,2026-08-07,reported,POTAFF = potential units affected as reported to NHTSA; not confirmed repairs completed
97793,13V249000,TESLA,MODEL S,2013,SEATS,,V,1228,2013-06-19,2013-06-14,MFR,"Tesla Motors, Inc. (Tesla) is recalling certain model year 2013 Model S electric vehicles manufactured May 10, 2013, through June 8, 2013.  An improper method for aligning the left hand seat back striker to the bracket may have weakened the weld between the bracket and the frame of the vehicle.","In the event of a crash, the left hand seat back may not stay mounted, increasing the risk of injury to passengers.","Tesla will notify owners, and Tesla Service Centers will inspect the left hand second row strikers.  Tesla will add additional mounting hardware to ensure a proper joint between the bracket and the frame, free of charge.  The recall began on June 24, 2013.  Owners may contact Tesla at 1-650-681-5000.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.",No,No,FLAT_RCL_POST_2010.zip::FLAT_RCL_POST_2010.txt,FLAT_RCL_POST_2010.zip,https://static.nhtsa.gov/odi/ffdd/rcl/FLAT_RCL_POST_2010.zip,SRC-NHTSA-001,RCL.txt,2026-08-07,reported,POTAFF = potential units affected as reported to NHTSA; not confirmed repairs completed
103670,14V006000,TESLA,MODEL S,2013,ELECTRICAL SYSTEM:PROPULSION SYSTEM:CHARGING:CABLE/CORD:ACCESSORY,,V,21081,2014-03-14,2014-01-13,MFR,"Tesla Motors, Inc. (Tesla) is recalling certain model year 2013 Model S vehicles equipped for, and delivered with, certain NEMA 14-50 (240 volt) Universal Mobile Connector (UMC) adapters.  During charging, the adapter, cord, or wall outlet could overheat.","An overheated adapter, cord, or wall outlet increases the risk of burn injury and/or fire.","Tesla will notify owners and provide an over-the-air (OTA) software update.  Some owners have already received this update.  This update allows the Model S on board charging system to detect any unexpected fluctuations in the input power or higher resistance connections to the vehicle.  If detected, the onboard charging system will automatically reduce the charging current by 25%.   Tesla owners can verify that they have received the updated software (version 5.8.4 or later) by viewing the vehicle's center information screen.  Additionally, Tesla will mail owners a replacement NEMA 14-50 adapter that is equipped with an internal thermal fuse.  The recall began on March 14, 2014.  Owners may contact Tesla Service Center at 1-877-79-TESLA (1-877-798-3752).","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.",No,No,FLAT_RCL_POST_2010.zip::FLAT_RCL_POST_2010.txt,FLAT_RCL_POST_2010.zip,https://static.nhtsa.gov/odi/ffdd/rcl/FLAT_RCL_POST_2010.zip,SRC-NHTSA-001,RCL.txt,2026-08-07,reported,POTAFF = potential units affected as reported to NHTSA; not confirmed repairs completed
103671,14V006000,TESLA,MODEL S,2013,EQUIPMENT:ELECTRICAL,,V,21081,2014-03-14,2014-01-13,MFR,"Tesla Motors, Inc. (Tesla) is recalling certain model year 2013 Model S vehicles equipped for, and delivered with, certain NEMA 14-50 (240 volt) Universal Mobile Connector (UMC) adapters.  During charging, the adapter, cord, or wall outlet could overheat.","An overheated adapter, cord, or wall outlet increases the risk of burn injury and/or fire.","Tesla will notify owners and provide an over-the-air (OTA) software update.  Some owners have already received this update.  This update allows the Model S on board charging system to detect any unexpected fluctuations in the input power or higher resistance connections to the vehicle.  If detected, the onboard charging system will automatically reduce the charging current by 25%.   Tesla owners can verify that they have received the updated software (version 5.8.4 or later) by viewing the vehicle's center information screen.  Additionally, Tesla will mail owners a replacement NEMA 14-50 adapter that is equipped with an internal thermal fuse.  The recall began on March 14, 2014.  Owners may contact Tesla Service Center at 1-877-79-TESLA (1-877-798-3752).","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.",No,No,FLAT_RCL_POST_2010.zip::FLAT_RCL_POST_2010.txt,FLAT_RCL_POST_2010.zip,https://static.nhtsa.gov/odi/ffdd/rcl/FLAT_RCL_POST_2010.zip,SRC-NHTSA-001,RCL.txt,2026-08-07,reported,POTAFF = potential units affected as reported to NHTSA; not confirmed repairs completed
108432,15V780000,TESLA,MODEL S,2012,SEAT BELTS:FRONT,SB-15-20-002,V,59415,2015-12-14,2015-11-23,MFR,"Tesla Motors, Inc. (Tesla) is recalling certain model year 2012-2015 Model S vehicles manufactured May 31, 2012, to November 12, 2015.  The affected vehicles are equipped with driver or front passenger seat belts that may be improperly connected to the outboard lap pretensioner.","If the seat belt is not correctly attached to the pretensioner, it may not properly restrain the seat occupant in the event of a crash, increasing their risk of injury.","Tesla will notify owners, and service centers will inspect the driver and front passenger seat belts, correcting their connection, as necessary, free of charge.  The recall began on December 14, 2015.  Owners may contact Tesla customer service at 1-877-798-3752.  Tesla's number for this recall is SB-15-20-002.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.",No,No,FLAT_RCL_POST_2010.zip::FLAT_RCL_POST_2010.txt,FLAT_RCL_POST_2010.zip,https://static.nhtsa.gov/odi/ffdd/rcl/FLAT_RCL_POST_2010.zip,SRC-NHTSA-001,RCL.txt,2026-08-07,reported,POTAFF = potential units affected as reported to NHTSA; not confirmed repairs completed
108427,15V780000,TESLA,MODEL S,2013,SEAT BELTS:FRONT,SB-15-20-002,V,59415,2015-12-14,2015-11-23,MFR,"Tesla Motors, Inc. (Tesla) is recalling certain model year 2012-2015 Model S vehicles manufactured May 31, 2012, to November 12, 2015.  The affected vehicles are equipped with driver or front passenger seat belts that may be improperly connected to the outboard lap pretensioner.","If the seat belt is not correctly attached to the pretensioner, it may not properly restrain the seat occupant in the event of a crash, increasing their risk of injury.","Tesla will notify owners, and service centers will inspect the driver and front passenger seat belts, correcting their connection, as necessary, free of charge.  The recall began on December 14, 2015.  Owners may contact Tesla customer service at 1-877-798-3752.  Tesla's number for this recall is SB-15-20-002.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.",No,No,FLAT_RCL_POST_2010.zip::FLAT_RCL_POST_2010.txt,FLAT_RCL_POST_2010.zip,https://static.nhtsa.gov/odi/ffdd/rcl/FLAT_RCL_POST_2010.zip,SRC-NHTSA-001,RCL.txt,2026-08-07,reported,POTAFF = potential units affected as reported to NHTSA; not confirmed repairs completed
108437,15V780000,TESLA,MODEL S,2014,SEAT BELTS:FRONT,SB-15-20-002,V,59415,2015-12-14,2015-11-23,MFR,"Tesla Motors, Inc. (Tesla) is recalling certain model year 2012-2015 Model S vehicles manufactured May 31, 2012, to November 12, 2015.  The affected vehicles are equipped with driver or front passenger seat belts that may be improperly connected to the outboard lap pretensioner.","If the seat belt is not correctly attached to the pretensioner, it may not properly restrain the seat occupant in the event of a crash, increasing their risk of injury.","Tesla will notify owners, and service centers will inspect the driver and front passenger seat belts, correcting their connection, as necessary, free of charge.  The recall began on December 14, 2015.  Owners may contact Tesla customer service at 1-877-798-3752.  Tesla's number for this recall is SB-15-20-002.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.",No,No,FLAT_RCL_POST_2010.zip::FLAT_RCL_POST_2010.txt,FLAT_RCL_POST_2010.zip,https://static.nhtsa.gov/odi/ffdd/rcl/FLAT_RCL_POST_2010.zip,SRC-NHTSA-001,RCL.txt,2026-08-07,reported,POTAFF = potential units affected as reported to NHTSA; not confirmed repairs completed
108442,15V780000,TESLA,MODEL S,2015,SEAT BELTS:FRONT,SB-15-20-002,V,59415,2015-12-14,2015-11-23,MFR,"Tesla Motors, Inc. (Tesla) is recalling certain model year 2012-2015 Model S vehicles manufactured May 31, 2012, to November 12, 2015.  The affected vehicles are equipped with driver or front passenger seat belts that may be improperly connected to the outboard lap pretensioner.","If the seat belt is not correctly attached to the pretensioner, it may not properly restrain the seat occupant in the event of a crash, increasing their risk of injury.","Tesla will notify owners, and service centers will inspect the driver and front passenger seat belts, correcting their connection, as necessary, free of charge.  The recall began on December 14, 2015.  Owners may contact Tesla customer service at 1-877-798-3752.  Tesla's number for this recall is SB-15-20-002.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.",No,No,FLAT_RCL_POST_2010.zip::FLAT_RCL_POST_2010.txt,FLAT_RCL_POST_2010.zip,https://static.nhtsa.gov/odi/ffdd/rcl/FLAT_RCL_POST_2010.zip,SRC-NHTSA-001,RCL.txt,2026-08-07,reported,POTAFF = potential units affected as reported to NHTSA; not confirmed repairs completed
117598,16V192000,TESLA,MODEL X,2016,SEATS:MID/REAR ASSEMBLY,SB-16-13-003,V,2676,2016-04-20,2016-04-06,MFR,"Tesla Motors, Inc. (Tesla) is recalling certain model year 2016 Model X vehicles manufactured September 29, 2015, to March 30, 2016.  In the affected vehicles, the third row seat back may move forward under load such as in a frontal collision.  As such, the vehicles do not conform to Federal Motor Vehicle Safety Standard (FMVSS) number 207, ""Seating Systems.""","If the third row seat does not remain in its adjusted position, there may be an increased risk of injury to an occupant in the event of a crash.","Tesla will notify owners, and dealers will replace all affected third row seats, free of charge.  The recall began on April 20, 2016.  Owners may contact Tesla customer service at 1-844-248-3752 or by email at ServiceHelpNA@teslamotors.com.  Tesla's number for this recall is SB-16-13-003","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.",No,No,FLAT_RCL_POST_2010.zip::FLAT_RCL_POST_2010.txt,FLAT_RCL_POST_2010.zip,https://static.nhtsa.gov/odi/ffdd/rcl/FLAT_RCL_POST_2010.zip,SRC-NHTSA-001,RCL.txt,2026-08-07,reported,POTAFF = potential units affected as reported to NHTSA; not confirmed repairs completed
118599,16E091000,TESLA,NEMA 10-30 ADAPTER,,ELECTRICAL SYSTEM:PROPULSION SYSTEM:CHARGING:CABLE/CORD:ACCESSORY,,E,6729,2017-01-12,2016-12-06,MFR,"Tesla Motors, Inc. (Tesla) is recalling certain Universal Mobile Connector Adapters, models NEMA 14-30 (part number 1018243-00-A or 1018243-00-B), NEMA 10-30 (part number 1016174-00-B), and NEMA 6-50 (part number 1016021-00-B or 1016021-00-A).  The affected adapters may have insufficient welds within the cable which can result in increased electrical resistance.","Increased electrical resistance may cause overheating or arcing, increasing the risk of a fire.","Tesla will notify owners and will provide them with a replacement adapter, free of charge.  The recall began on January 12, 2017.  Owners may contact Tesla customer service at 1-877-798-3752.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.",No,No,FLAT_RCL_POST_2010.zip::FLAT_RCL_POST_2010.txt,FLAT_RCL_POST_2010.zip,https://static.nhtsa.gov/odi/ffdd/rcl/FLAT_RCL_POST_2010.zip,SRC-NHTSA-001,RCL.txt,2026-08-07,reported,POTAFF = potential units affected as reported to NHTSA; not confirmed repairs completed
118600,16E091000,TESLA,NEMA 10-30 ADAPTER,,EQUIPMENT:ELECTRICAL,,E,6729,2017-01-12,2016-12-06,MFR,"Tesla Motors, Inc. (Tesla) is recalling certain Universal Mobile Connector Adapters, models NEMA 14-30 (part number 1018243-00-A or 1018243-00-B), NEMA 10-30 (part number 1016174-00-B), and NEMA 6-50 (part number 1016021-00-B or 1016021-00-A).  The affected adapters may have insufficient welds within the cable which can result in increased electrical resistance.","Increased electrical resistance may cause overheating or arcing, increasing the risk of a fire.","Tesla will notify owners and will provide them with a replacement adapter, free of charge.  The recall began on January 12, 2017.  Owners may contact Tesla customer service at 1-877-798-3752.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.",No,No,FLAT_RCL_POST_2010.zip::FLAT_RCL_POST_2010.txt,FLAT_RCL_POST_2010.zip,https://static.nhtsa.gov/odi/ffdd/rcl/FLAT_RCL_POST_2010.zip,SRC-NHTSA-001,RCL.txt,2026-08-07,reported,POTAFF = potential units affected as reported to NHTSA; not confirmed repairs completed
118597,16E091000,TESLA,NEMA 14-30 ADAPTER,,ELECTRICAL SYSTEM:PROPULSION SYSTEM:CHARGING:CABLE/CORD:ACCESSORY,,E,6729,2017-01-12,2016-12-06,MFR,"Tesla Motors, Inc. (Tesla) is recalling certain Universal Mobile Connector Adapters, models NEMA 14-30 (part number 1018243-00-A or 1018243-00-B), NEMA 10-30 (part number 1016174-00-B), and NEMA 6-50 (part number 1016021-00-B or 1016021-00-A).  The affected adapters may have insufficient welds within the cable which can result in increased electrical resistance.","Increased electrical resistance may cause overheating or arcing, increasing the risk of a fire.","Tesla will notify owners and will provide them with a replacement adapter, free of charge.  The recall began on January 12, 2017.  Owners may contact Tesla customer service at 1-877-798-3752.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.",No,No,FLAT_RCL_POST_2010.zip::FLAT_RCL_POST_2010.txt,FLAT_RCL_POST_2010.zip,https://static.nhtsa.gov/odi/ffdd/rcl/FLAT_RCL_POST_2010.zip,SRC-NHTSA-001,RCL.txt,2026-08-07,reported,POTAFF = potential units affected as reported to NHTSA; not confirmed repairs completed
118598,16E091000,TESLA,NEMA 14-30 ADAPTER,,EQUIPMENT:ELECTRICAL,,E,6729,2017-01-12,2016-12-06,MFR,"Tesla Motors, Inc. (Tesla) is recalling certain Universal Mobile Connector Adapters, models NEMA 14-30 (part number 1018243-00-A or 1018243-00-B), NEMA 10-30 (part number 1016174-00-B), and NEMA 6-50 (part number 1016021-00-B or 1016021-00-A).  The affected adapters may have insufficient welds within the cable which can result in increased electrical resistance.","Increased electrical resistance may cause overheating or arcing, increasing the risk of a fire.","Tesla will notify owners and will provide them with a replacement adapter, free of charge.  The recall began on January 12, 2017.  Owners may contact Tesla customer service at 1-877-798-3752.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.",No,No,FLAT_RCL_POST_2010.zip::FLAT_RCL_POST_2010.txt,FLAT_RCL_POST_2010.zip,https://static.nhtsa.gov/odi/ffdd/rcl/FLAT_RCL_POST_2010.zip,SRC-NHTSA-001,RCL.txt,2026-08-07,reported,POTAFF = potential units affected as reported to NHTSA; not confirmed repairs completed
