Period_ID,Reporting_Period,Vehicle_Group,Vehicles_Produced,Vehicles_Delivered,Energy_Storage_GWh,Production_Delivery_Gap,Delivery_Conversion_Rate,Publication_Date,Source_File,Source_ID,Vehicle_Group_As_Reported,Format_Flags,Metric_Notes
2022Q1,2022-01-01 to 2022-03-31,Model 3/Y,291189,295324,,-4135,1.0142,2022-04-04,tesla_production_deliveries_Q1_2022_2022-04-04_tsla-ex991_6.htm,SRC-TESLA-IR-001-Q1_2022,Model 3/Y,vehicle_group_label=Model_S_X|release_title=Vehicle_Production_Deliveries|energy_storage=not_disclosed_in_release,Vehicles_Produced/Delivered=reported; Production_Delivery_Gap=calculated(Produced-Delivered); Delivery_Conversion_Rate=calculated(Delivered/Produced); Energy_Storage_GWh=null
2022Q1,2022-01-01 to 2022-03-31,Model S/X,14218,14724,,-506,1.035589,2022-04-04,tesla_production_deliveries_Q1_2022_2022-04-04_tsla-ex991_6.htm,SRC-TESLA-IR-001-Q1_2022,Model S/X,vehicle_group_label=Model_S_X|release_title=Vehicle_Production_Deliveries|energy_storage=not_disclosed_in_release,Vehicles_Produced/Delivered=reported; Production_Delivery_Gap=calculated(Produced-Delivered); Delivery_Conversion_Rate=calculated(Delivered/Produced); Energy_Storage_GWh=null
2022Q1,2022-01-01 to 2022-03-31,Total,305407,310048,,-4641,1.015196,2022-04-04,tesla_production_deliveries_Q1_2022_2022-04-04_tsla-ex991_6.htm,SRC-TESLA-IR-001-Q1_2022,Total,vehicle_group_label=Model_S_X|release_title=Vehicle_Production_Deliveries|energy_storage=not_disclosed_in_release,Vehicles_Produced/Delivered=reported; Production_Delivery_Gap=calculated(Produced-Delivered); Delivery_Conversion_Rate=calculated(Delivered/Produced); Energy_Storage_GWh=null
2022Q2,2022-04-01 to 2022-06-30,Model 3/Y,242169,238533,,3636,0.984986,2022-07-05,tesla_production_deliveries_Q2_2022_2022-07-05_tsla-ex991_6.htm,SRC-TESLA-IR-001-Q2_2022,Model 3/Y,vehicle_group_label=Model_S_X|release_title=Vehicle_Production_Deliveries|energy_storage=not_disclosed_in_release,Vehicles_Produced/Delivered=reported; Production_Delivery_Gap=calculated(Produced-Delivered); Delivery_Conversion_Rate=calculated(Delivered/Produced); Energy_Storage_GWh=null
2022Q2,2022-04-01 to 2022-06-30,Model S/X,16411,16162,,249,0.984827,2022-07-05,tesla_production_deliveries_Q2_2022_2022-07-05_tsla-ex991_6.htm,SRC-TESLA-IR-001-Q2_2022,Model S/X,vehicle_group_label=Model_S_X|release_title=Vehicle_Production_Deliveries|energy_storage=not_disclosed_in_release,Vehicles_Produced/Delivered=reported; Production_Delivery_Gap=calculated(Produced-Delivered); Delivery_Conversion_Rate=calculated(Delivered/Produced); Energy_Storage_GWh=null
2022Q2,2022-04-01 to 2022-06-30,Total,258580,254695,,3885,0.984976,2022-07-05,tesla_production_deliveries_Q2_2022_2022-07-05_tsla-ex991_6.htm,SRC-TESLA-IR-001-Q2_2022,Total,vehicle_group_label=Model_S_X|release_title=Vehicle_Production_Deliveries|energy_storage=not_disclosed_in_release,Vehicles_Produced/Delivered=reported; Production_Delivery_Gap=calculated(Produced-Delivered); Delivery_Conversion_Rate=calculated(Delivered/Produced); Energy_Storage_GWh=null
2022Q3,2022-07-01 to 2022-09-30,Model 3/Y,345988,325158,,20830,0.939796,2022-10-03,tesla_production_deliveries_Q3_2022_2022-10-03_tsla-ex991_6.htm,SRC-TESLA-IR-001-Q3_2022,Model 3/Y,vehicle_group_label=Model_S_X|release_title=Vehicle_Production_Deliveries|energy_storage=not_disclosed_in_release,Vehicles_Produced/Delivered=reported; Production_Delivery_Gap=calculated(Produced-Delivered); Delivery_Conversion_Rate=calculated(Delivered/Produced); Energy_Storage_GWh=null
2022Q3,2022-07-01 to 2022-09-30,Model S/X,19935,18672,,1263,0.936644,2022-10-03,tesla_production_deliveries_Q3_2022_2022-10-03_tsla-ex991_6.htm,SRC-TESLA-IR-001-Q3_2022,Model S/X,vehicle_group_label=Model_S_X|release_title=Vehicle_Production_Deliveries|energy_storage=not_disclosed_in_release,Vehicles_Produced/Delivered=reported; Production_Delivery_Gap=calculated(Produced-Delivered); Delivery_Conversion_Rate=calculated(Delivered/Produced); Energy_Storage_GWh=null
2022Q3,2022-07-01 to 2022-09-30,Total,365923,343830,,22093,0.939624,2022-10-03,tesla_production_deliveries_Q3_2022_2022-10-03_tsla-ex991_6.htm,SRC-TESLA-IR-001-Q3_2022,Total,vehicle_group_label=Model_S_X|release_title=Vehicle_Production_Deliveries|energy_storage=not_disclosed_in_release,Vehicles_Produced/Delivered=reported; Production_Delivery_Gap=calculated(Produced-Delivered); Delivery_Conversion_Rate=calculated(Delivered/Produced); Energy_Storage_GWh=null
2022Q4,2022-10-01 to 2022-12-31,Model 3/Y,419088,388131,,30957,0.926132,2023-01-03,tesla_production_deliveries_Q4_2022_2023-01-03_tsla-ex991_6.htm,SRC-TESLA-IR-001-Q4_2022,Model 3/Y,vehicle_group_label=Model_S_X|release_title=Vehicle_Production_Deliveries|energy_storage=not_disclosed_in_release,Vehicles_Produced/Delivered=reported; Production_Delivery_Gap=calculated(Produced-Delivered); Delivery_Conversion_Rate=calculated(Delivered/Produced); Energy_Storage_GWh=null
2022Q4,2022-10-01 to 2022-12-31,Model S/X,20613,17147,,3466,0.831854,2023-01-03,tesla_production_deliveries_Q4_2022_2023-01-03_tsla-ex991_6.htm,SRC-TESLA-IR-001-Q4_2022,Model S/X,vehicle_group_label=Model_S_X|release_title=Vehicle_Production_Deliveries|energy_storage=not_disclosed_in_release,Vehicles_Produced/Delivered=reported; Production_Delivery_Gap=calculated(Produced-Delivered); Delivery_Conversion_Rate=calculated(Delivered/Produced); Energy_Storage_GWh=null
