Commodity,Country,Statistics,Year,Field_Value,Metric_Label,Source_File,Source_URL,Notes
Cobalt,United States,Production,2021,650.0,estimated,MCS2026_Commodities_Data.csv,https://www.sciencebase.gov/catalog/item/69837e43b66b01367d7ec7c7,Estimated.
Cobalt,United States,Production,2021,1800.0,estimated,MCS2026_Commodities_Data.csv,https://www.sciencebase.gov/catalog/item/69837e43b66b01367d7ec7c7,Estimated. -- Estimated from consumption of purchased scrap.
Cobalt,United States,Import,2021,9790.0,reported,MCS2026_Commodities_Data.csv,https://www.sciencebase.gov/catalog/item/69837e43b66b01367d7ec7c7,
Cobalt,United States,Export,2021,4930.0,reported,MCS2026_Commodities_Data.csv,https://www.sciencebase.gov/catalog/item/69837e43b66b01367d7ec7c7,
Cobalt,United States,Consumption,2021,7270.0,reported,MCS2026_Commodities_Data.csv,https://www.sciencebase.gov/catalog/item/69837e43b66b01367d7ec7c7,Includes reported data and U.S. Geological Survey estimates.
Cobalt,United States,Consumption,2021,6650.0,estimated,MCS2026_Commodities_Data.csv,https://www.sciencebase.gov/catalog/item/69837e43b66b01367d7ec7c7,"Estimated. -- Defined for 2021–22 as secondary production + imports – exports ± adjustments for Government and industry stock changes for refined cobalt. Beginning in 2023, Government stock changes no longer included."
Cobalt,United States,Price,2021,24.21,reported,MCS2026_Commodities_Data.csv,https://www.sciencebase.gov/catalog/item/69837e43b66b01367d7ec7c7,Source: S&P Global Platts Metals Week. Cobalt cathode is refined cobalt metal produced by an electrolytic process.
Cobalt,United States,Price,2021,23.17,reported,MCS2026_Commodities_Data.csv,https://www.sciencebase.gov/catalog/item/69837e43b66b01367d7ec7c7,
Cobalt,United States,Stock,2021,1010.0,estimated,MCS2026_Commodities_Data.csv,https://www.sciencebase.gov/catalog/item/69837e43b66b01367d7ec7c7,Estimated. -- Includes reported data and U.S. Geological Survey estimates. -- Stocks held by consumers and processors; excludes stocks held by trading companies and held for investment purposes.
Cobalt,United States,Stock,2021,50.0,reported,MCS2026_Commodities_Data.csv,https://www.sciencebase.gov/catalog/item/69837e43b66b01367d7ec7c7,
Cobalt,United States,Net import reliance,2021,73.0,reported,MCS2026_Commodities_Data.csv,https://www.sciencebase.gov/catalog/item/69837e43b66b01367d7ec7c7,"Defined for 2021–22 as imports – exports ± adjustments for Government and industry stock changes for refined cobalt. Beginning in 2023, Government stock changes no longer included."
Cobalt,United States,Production,2022,500.0,estimated,MCS2026_Commodities_Data.csv,https://www.sciencebase.gov/catalog/item/69837e43b66b01367d7ec7c7,Estimated.
Cobalt,United States,Production,2022,1920.0,estimated,MCS2026_Commodities_Data.csv,https://www.sciencebase.gov/catalog/item/69837e43b66b01367d7ec7c7,Estimated. -- Estimated from consumption of purchased scrap.
Cobalt,United States,Import,2022,10500.0,reported,MCS2026_Commodities_Data.csv,https://www.sciencebase.gov/catalog/item/69837e43b66b01367d7ec7c7,
Cobalt,United States,Export,2022,5360.0,reported,MCS2026_Commodities_Data.csv,https://www.sciencebase.gov/catalog/item/69837e43b66b01367d7ec7c7,
Cobalt,United States,Consumption,2022,7570.0,reported,MCS2026_Commodities_Data.csv,https://www.sciencebase.gov/catalog/item/69837e43b66b01367d7ec7c7,Includes reported data and U.S. Geological Survey estimates.
Cobalt,United States,Consumption,2022,7150.0,estimated,MCS2026_Commodities_Data.csv,https://www.sciencebase.gov/catalog/item/69837e43b66b01367d7ec7c7,"Estimated. -- Defined for 2021–22 as secondary production + imports – exports ± adjustments for Government and industry stock changes for refined cobalt. Beginning in 2023, Government stock changes no longer included."
Cobalt,United States,Price,2022,30.78,reported,MCS2026_Commodities_Data.csv,https://www.sciencebase.gov/catalog/item/69837e43b66b01367d7ec7c7,Source: S&P Global Platts Metals Week. Cobalt cathode is refined cobalt metal produced by an electrolytic process.
Cobalt,United States,Price,2022,28.83,reported,MCS2026_Commodities_Data.csv,https://www.sciencebase.gov/catalog/item/69837e43b66b01367d7ec7c7,
Cobalt,United States,Stock,2022,946.0,estimated,MCS2026_Commodities_Data.csv,https://www.sciencebase.gov/catalog/item/69837e43b66b01367d7ec7c7,Estimated. -- Includes reported data and U.S. Geological Survey estimates. -- Stocks held by consumers and processors; excludes stocks held by trading companies and held for investment purposes.
Cobalt,United States,Stock,2022,34.0,reported,MCS2026_Commodities_Data.csv,https://www.sciencebase.gov/catalog/item/69837e43b66b01367d7ec7c7,
Cobalt,United States,Net import reliance,2022,73.0,reported,MCS2026_Commodities_Data.csv,https://www.sciencebase.gov/catalog/item/69837e43b66b01367d7ec7c7,"Defined for 2021–22 as imports – exports ± adjustments for Government and industry stock changes for refined cobalt. Beginning in 2023, Government stock changes no longer included."
