Campaign_Number,Model,Model_Year,Field_Name,Field_Value,Metric_Label,Source_File,Source_URL,Notes
09V178000,ROADSTER,2008,Potential_Units_Affected,345,reported,FLAT_RCL_PRE_2010.zip::FLAT_RCL_PRE_2010.txt,https://static.nhtsa.gov/odi/ffdd/rcl/FLAT_RCL_PRE_2010.zip,Flat-file field POTAFF
10V458000,ROADSTER2,2010,Potential_Units_Affected,439,reported,FLAT_RCL_POST_2010.zip::FLAT_RCL_POST_2010.txt,https://static.nhtsa.gov/odi/ffdd/rcl/FLAT_RCL_POST_2010.zip,Flat-file field POTAFF
13V249000,MODEL S,2013,Potential_Units_Affected,1228,reported,FLAT_RCL_POST_2010.zip::FLAT_RCL_POST_2010.txt,https://static.nhtsa.gov/odi/ffdd/rcl/FLAT_RCL_POST_2010.zip,Flat-file field POTAFF
14V006000,MODEL S,2013,Potential_Units_Affected,21081,reported,FLAT_RCL_POST_2010.zip::FLAT_RCL_POST_2010.txt,https://static.nhtsa.gov/odi/ffdd/rcl/FLAT_RCL_POST_2010.zip,Flat-file field POTAFF
14V006000,MODEL S,2013,Potential_Units_Affected,21081,reported,FLAT_RCL_POST_2010.zip::FLAT_RCL_POST_2010.txt,https://static.nhtsa.gov/odi/ffdd/rcl/FLAT_RCL_POST_2010.zip,Flat-file field POTAFF
15V780000,MODEL S,2013,Potential_Units_Affected,59415,reported,FLAT_RCL_POST_2010.zip::FLAT_RCL_POST_2010.txt,https://static.nhtsa.gov/odi/ffdd/rcl/FLAT_RCL_POST_2010.zip,Flat-file field POTAFF
15V780000,MODEL S,2012,Potential_Units_Affected,59415,reported,FLAT_RCL_POST_2010.zip::FLAT_RCL_POST_2010.txt,https://static.nhtsa.gov/odi/ffdd/rcl/FLAT_RCL_POST_2010.zip,Flat-file field POTAFF
15V780000,MODEL S,2014,Potential_Units_Affected,59415,reported,FLAT_RCL_POST_2010.zip::FLAT_RCL_POST_2010.txt,https://static.nhtsa.gov/odi/ffdd/rcl/FLAT_RCL_POST_2010.zip,Flat-file field POTAFF
15V780000,MODEL S,2015,Potential_Units_Affected,59415,reported,FLAT_RCL_POST_2010.zip::FLAT_RCL_POST_2010.txt,https://static.nhtsa.gov/odi/ffdd/rcl/FLAT_RCL_POST_2010.zip,Flat-file field POTAFF
16V192000,MODEL X,2016,Potential_Units_Affected,2676,reported,FLAT_RCL_POST_2010.zip::FLAT_RCL_POST_2010.txt,https://static.nhtsa.gov/odi/ffdd/rcl/FLAT_RCL_POST_2010.zip,Flat-file field POTAFF
