Period_ID,Reporting_Period,Vehicle_Group,Field_Name,Field_Value,Metric_Label,Source_File,Source_Section,Source_Excerpt,Notes
2022Q1,2022-01-01 to 2022-03-31,Model S/X,Vehicles_Produced,14218,reported,tesla_production_deliveries_Q1_2022_2022-04-04_tsla-ex991_6.htm,"Exhibit 99.1 quarterly production/deliveries table (first Production|Deliveries table; excludes later full-year table if present) — row 'Model S/X', Production column","Deliveries | Subject to operating lease accounting | Model S/X | 14,218 | 14,724 | 17% | Model 3/Y | 291,189 | 29",
2022Q1,2022-01-01 to 2022-03-31,Model S/X,Vehicles_Delivered,14724,reported,tesla_production_deliveries_Q1_2022_2022-04-04_tsla-ex991_6.htm,"Exhibit 99.1 quarterly production/deliveries table (first Production|Deliveries table; excludes later full-year table if present) — row 'Model S/X', Deliveries column","Deliveries | Subject to operating lease accounting | Model S/X | 14,218 | 14,724 | 17% | Model 3/Y | 291,189 | 29",
2022Q1,2022-01-01 to 2022-03-31,Model S/X,Production_Delivery_Gap,-506,calculated,tesla_production_deliveries_Q1_2022_2022-04-04_tsla-ex991_6.htm,Calculated field (not printed as gap in source),14218 - 14724 = -506,"May reflect vehicles in transit, timing, logistics, demand, shutdowns, product mix, or reporting cutoffs — not labeled unsold inventory"
2022Q1,2022-01-01 to 2022-03-31,Model S/X,Delivery_Conversion_Rate,1.035589,calculated,tesla_production_deliveries_Q1_2022_2022-04-04_tsla-ex991_6.htm,Calculated field (Delivered / Produced),14724 / 14218 = 1.035589,
2022Q1,2022-01-01 to 2022-03-31,Model S/X,Energy_Storage_GWh,,reported,tesla_production_deliveries_Q1_2022_2022-04-04_tsla-ex991_6.htm,N/A — energy storage not disclosed by vehicle group,,Left null at vehicle-group grain; company-total energy stored on Total row only
2022Q1,2022-01-01 to 2022-03-31,Model 3/Y,Vehicles_Produced,291189,reported,tesla_production_deliveries_Q1_2022_2022-04-04_tsla-ex991_6.htm,"Exhibit 99.1 quarterly production/deliveries table (first Production|Deliveries table; excludes later full-year table if present) — row 'Model 3/Y', Production column","accounting | Model S/X | 14,218 | 14,724 | 17% | Model 3/Y | 291,189 | 295,324 | 3% | Total | 305,407 | 310,0",
2022Q1,2022-01-01 to 2022-03-31,Model 3/Y,Vehicles_Delivered,295324,reported,tesla_production_deliveries_Q1_2022_2022-04-04_tsla-ex991_6.htm,"Exhibit 99.1 quarterly production/deliveries table (first Production|Deliveries table; excludes later full-year table if present) — row 'Model 3/Y', Deliveries column","accounting | Model S/X | 14,218 | 14,724 | 17% | Model 3/Y | 291,189 | 295,324 | 3% | Total | 305,407 | 310,0",
2022Q1,2022-01-01 to 2022-03-31,Model 3/Y,Production_Delivery_Gap,-4135,calculated,tesla_production_deliveries_Q1_2022_2022-04-04_tsla-ex991_6.htm,Calculated field (not printed as gap in source),291189 - 295324 = -4135,"May reflect vehicles in transit, timing, logistics, demand, shutdowns, product mix, or reporting cutoffs — not labeled unsold inventory"
2022Q1,2022-01-01 to 2022-03-31,Model 3/Y,Delivery_Conversion_Rate,1.0142,calculated,tesla_production_deliveries_Q1_2022_2022-04-04_tsla-ex991_6.htm,Calculated field (Delivered / Produced),295324 / 291189 = 1.0142,
2022Q1,2022-01-01 to 2022-03-31,Model 3/Y,Energy_Storage_GWh,,reported,tesla_production_deliveries_Q1_2022_2022-04-04_tsla-ex991_6.htm,N/A — energy storage not disclosed by vehicle group,,Left null at vehicle-group grain; company-total energy stored on Total row only
2022Q1,2022-01-01 to 2022-03-31,Total,Vehicles_Produced,305407,reported,tesla_production_deliveries_Q1_2022_2022-04-04_tsla-ex991_6.htm,"Exhibit 99.1 quarterly production/deliveries table (first Production|Deliveries table; excludes later full-year table if present) — row 'Total', Production column","24 | 17% | Model 3/Y | 291,189 | 295,324 | 3% | Total | 305,407 | 310,048 | 4% | *************** Tesl",
2022Q1,2022-01-01 to 2022-03-31,Total,Vehicles_Delivered,310048,reported,tesla_production_deliveries_Q1_2022_2022-04-04_tsla-ex991_6.htm,"Exhibit 99.1 quarterly production/deliveries table (first Production|Deliveries table; excludes later full-year table if present) — row 'Total', Deliveries column","24 | 17% | Model 3/Y | 291,189 | 295,324 | 3% | Total | 305,407 | 310,048 | 4% | *************** Tesl",
2022Q1,2022-01-01 to 2022-03-31,Total,Production_Delivery_Gap,-4641,calculated,tesla_production_deliveries_Q1_2022_2022-04-04_tsla-ex991_6.htm,Calculated field (not printed as gap in source),305407 - 310048 = -4641,"May reflect vehicles in transit, timing, logistics, demand, shutdowns, product mix, or reporting cutoffs — not labeled unsold inventory"
2022Q1,2022-01-01 to 2022-03-31,Total,Delivery_Conversion_Rate,1.015196,calculated,tesla_production_deliveries_Q1_2022_2022-04-04_tsla-ex991_6.htm,Calculated field (Delivered / Produced),310048 / 305407 = 1.015196,
2022Q1,2022-01-01 to 2022-03-31,Total,Energy_Storage_GWh,,reported,tesla_production_deliveries_Q1_2022_2022-04-04_tsla-ex991_6.htm,Exhibit 99.1 narrative (energy storage),Energy storage deployment not stated in this release,Null when release does not disclose energy storage deployments
2023Q1,2023-01-01 to 2023-03-31,Model S/X,Vehicles_Produced,19437,reported,tesla_production_deliveries_Q1_2023_2023-04-03_tsla-ex991_7.htm,"Exhibit 99.1 quarterly production/deliveries table (first Production|Deliveries table; excludes later full-year table if present) — row 'Model S/X', Production column","wards a more even regional mix of vehicle builds, including Model S/X vehicles in transit to EMEA and APAC. | | | | |",
2023Q1,2023-01-01 to 2023-03-31,Model S/X,Vehicles_Delivered,10695,reported,tesla_production_deliveries_Q1_2023_2023-04-03_tsla-ex991_7.htm,"Exhibit 99.1 quarterly production/deliveries table (first Production|Deliveries table; excludes later full-year table if present) — row 'Model S/X', Deliveries column","wards a more even regional mix of vehicle builds, including Model S/X vehicles in transit to EMEA and APAC. | | | | |",
2023Q1,2023-01-01 to 2023-03-31,Model S/X,Production_Delivery_Gap,8742,calculated,tesla_production_deliveries_Q1_2023_2023-04-03_tsla-ex991_7.htm,Calculated field (not printed as gap in source),19437 - 10695 = 8742,"May reflect vehicles in transit, timing, logistics, demand, shutdowns, product mix, or reporting cutoffs — not labeled unsold inventory"
2023Q1,2023-01-01 to 2023-03-31,Model S/X,Delivery_Conversion_Rate,0.550239,calculated,tesla_production_deliveries_Q1_2023_2023-04-03_tsla-ex991_7.htm,Calculated field (Delivered / Produced),10695 / 19437 = 0.550239,
2023Q1,2023-01-01 to 2023-03-31,Model S/X,Energy_Storage_GWh,,reported,tesla_production_deliveries_Q1_2023_2023-04-03_tsla-ex991_7.htm,N/A — energy storage not disclosed by vehicle group,,Left null at vehicle-group grain; company-total energy stored on Total row only
2023Q1,2023-01-01 to 2023-03-31,Model 3/Y,Vehicles_Produced,421371,reported,tesla_production_deliveries_Q1_2023_2023-04-03_tsla-ex991_7.htm,"Exhibit 99.1 quarterly production/deliveries table (first Production|Deliveries table; excludes later full-year table if present) — row 'Model 3/Y', Production column","accounting | Model S/X | 19,437 | 10,695 | 10% | Model 3/Y | 421,371 | 412,180 | 5% | Total | 440,808 | 422,8",
